epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5349,1.39475,2.19425,1.13932,0.9577,0.17416,0.46631,0.29154,1.32251,2.4352,1.04915,0.00036526,0.00036526,0.00036526
2,39.7914,1.27132,1.23822,1.08396,0.79106,0.48484,0.5478,0.34201,1.36619,1.40829,1.0982,0.000721029,0.000721029,0.000721029
3,56.262,1.24878,1.13565,1.07798,0.79745,0.58185,0.64152,0.4066,1.23915,1.00266,1.05969,0.00106213,0.00106213,0.00106213
4,73.3908,1.21399,1.05939,1.06563,0.67368,0.60177,0.64225,0.41251,1.21711,0.9745,1.03923,0.00104501,0.00104501,0.00104501
5,90.1185,1.18986,0.98697,1.05447,0.73204,0.63428,0.67757,0.43957,1.24186,0.90575,1.07419,0.00102301,0.00102301,0.00102301
6,106.5,1.19417,0.95998,1.05891,0.82158,0.61711,0.69737,0.45604,1.19596,0.85679,1.03247,0.00100101,0.00100101,0.00100101
7,122.733,1.15932,0.90663,1.04461,0.79074,0.63762,0.70868,0.4557,1.20325,0.83424,1.02759,0.000979013,0.000979013,0.000979013
8,138.969,1.15137,0.87748,1.03246,0.81296,0.67853,0.71654,0.47262,1.17787,0.82049,1.03135,0.000957015,0.000957015,0.000957015
9,157.335,1.13584,0.84435,1.02641,0.8167,0.67736,0.73105,0.48669,1.17201,0.75448,1.02816,0.000935018,0.000935018,0.000935018
10,174.059,1.11051,0.80797,1.02001,0.78309,0.68221,0.74414,0.49409,1.17867,0.7647,1.02909,0.00091302,0.00091302,0.00091302
11,190.538,1.11003,0.7914,1.02293,0.80409,0.66529,0.72167,0.47609,1.18746,0.82247,1.03135,0.000891022,0.000891022,0.000891022
12,207.046,1.08921,0.77224,1.01002,0.87753,0.66585,0.73674,0.49049,1.2053,0.74,1.0454,0.000869024,0.000869024,0.000869024
13,225.751,1.07287,0.74421,1.00441,0.85914,0.66573,0.73962,0.49633,1.16752,0.74475,1.02521,0.000847026,0.000847026,0.000847026
14,243.053,1.07099,0.73349,1.0052,0.79852,0.68204,0.72594,0.49597,1.12812,0.7105,1.00323,0.000825029,0.000825029,0.000825029
15,259.538,1.07777,0.73491,1.00673,0.76494,0.70615,0.74347,0.51196,1.11797,0.71259,1.00209,0.000803031,0.000803031,0.000803031
16,276.04,1.06398,0.71635,1.00001,0.81628,0.73969,0.76324,0.52601,1.11236,0.69313,0.9975,0.000781033,0.000781033,0.000781033
17,293.222,1.04841,0.708,0.99771,0.81906,0.68997,0.75583,0.5088,1.13558,0.71778,1.0161,0.000759035,0.000759035,0.000759035
18,310.208,1.05462,0.69784,1.00276,0.84882,0.68974,0.75595,0.51328,1.11255,0.69442,1.00615,0.000737037,0.000737037,0.000737037
19,326.803,1.03387,0.67772,0.99146,0.8141,0.701,0.76335,0.52525,1.11022,0.67453,1.00676,0.00071504,0.00071504,0.00071504
20,343.039,1.03557,0.67846,0.99331,0.82103,0.69655,0.75924,0.50396,1.13944,0.69348,1.00587,0.000693042,0.000693042,0.000693042
21,359.257,1.03773,0.66462,0.98841,0.87197,0.71268,0.77173,0.5293,1.11123,0.68369,1.00589,0.000671044,0.000671044,0.000671044
22,376.657,1.0151,0.64781,0.98157,0.80877,0.71312,0.77173,0.51913,1.11672,0.6582,1.00576,0.000649046,0.000649046,0.000649046
23,393.113,1.00651,0.64783,0.98329,0.80251,0.7019,0.76355,0.51255,1.11583,0.65872,0.99918,0.000627048,0.000627048,0.000627048
24,409.517,1.01624,0.64364,0.98717,0.78594,0.74196,0.75449,0.52424,1.09829,0.66092,0.99644,0.000605051,0.000605051,0.000605051
25,425.981,0.99414,0.62342,0.97553,0.81785,0.69637,0.75071,0.51611,1.13154,0.66961,0.9981,0.000583053,0.000583053,0.000583053
